#NSGA2
popsize 750
maxGen 40
numVar 13
numObj 6
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 40
currentGen	1
evaluateCount	750
totalTime	53920.3
firstFrontCount	747
frontCount	2
avgEvalTime	891.209
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Obj1	Obj2	Obj3	Obj4	Obj5	Obj6
2652	446	762	17.6956	16	1050	12	9	487	15	74	349	4	0.336998	28592.9	0.000166778	0	0	0
2618	168	761	17.4297	15.5758	1028	12	7	487	8	80	349	5	0.142086	38420.5	0.000165673	0	0	0
2518	212	758	16.499	15.9605	1050	11	9	489	10	74	350	6	0.168045	35015.9	0.000169607	0	0	0
2541	105	743	22.4805	11.3764	986	17	9	480	0	78	345	5	0.081306	61428	0.00017094	0	0	0
2646	218	768	15.6301	11.4172	1050	11	7	478	0	74	348	5	0.188069	40978.1	0.000133779	0	0	0
2353	185	725	24.1308	16	909	15	9	473	9	62	350	4	0.11188	38054.2	0.000204792	0	0	0
2538	156	747	16.6647	10.0899	1027	13	6	484	17	60	350	4	0.131171	53126.1	0.000136593	0	0	0
2336	100	734	25	15.3288	1009	15	9	470	11	68	348	5	0.06521	54594.8	0.000206697	0	0	0
2620	398	738	16.8466	14.6748	1044	12	7	484	8	75	346	5	0.29339	30482.9	0.000160256	0	0	0
2300	118	744	24.5929	16	938	16	9	467	4	57	339	5	0.074779	47700.9	0.000208943	0	0	0
2615	500	767	14.9602	12.766	1039	13	10	489	4	80	346	5	0.395527	31858.9	0.000142308	0	0	0
2619	308	775	12.3361	10	1041	12	8	466	7	74	350	4	0.285467	40232.3	0.000123625	0	0	0
2618	256	769	14.2429	10.8821	1039	13	9	480	2	71	350	5	0.223753	39671.9	0.000130378	0	0	0
2619	345	772	12.9637	10	1050	13	8	472	7	76	350	4	0.302596	39239.1	0.000124332	0	0	0
2558	123	755	22.0453	10.1311	1006	12	9	481	1	58	348	6	0.094426	66328.4	0.000153022	0	0	0
2700	482	775	11.4244	10.44	1033	10	8	481	9	76	350	5	0.448529	37251.5	0.000123885	0	0	0
2300	118	744	24.5929	16	938	16	9	478	4	58	346	5	0.074779	47978.7	0.000208377	0	0	0
2325	103	751	23.0168	10.0259	1041	13	8	471	7	80	343	4	0.071738	76274.9	0.000175377	0	0	0
2669	436	770	11.8879	11.3776	1044	11	9	490	8	80	350	6	0.394449	35230.7	0.000129988	0	0	0
2300	100	725	25	12.591	955	12	10	474	6	75	348	6	0.06317	61802.6	0.000199164	0	0	0
2605	196	758	18.6849	13.0469	1026	13	9	488	2	69	350	6	0.153048	40052.3	0.000150331	0	0	0
2619	291	769	12.9637	10.3673	1050	13	8	472	7	69	350	4	0.262268	39826.8	0.00012631	0	0	0
2353	136	725	25	16	909	15	9	473	7	62	350	4	0.083798	43906.8	0.000208117	0	0	0
2619	287	769	12.9637	10	1050	13	8	472	7	69	350	4	0.259415	40968.7	0.000124595	0	0	0
2525	114	762	21.8963	10.4873	980	10	8	477	8	75	334	5	0.08919	63449.9	0.000159541	0	0	0
2657	398	771	12.4457	10.6014	1050	10	6	477	2	69	350	4	0.354215	37270	0.000125818	0	0	0
2300	107	738	23.4031	13.2945	900	12	7	474	6	60	350	4	0.070595	54566.7	0.000193013	0	0	0
2700	253	774	13.1904	10.542	1048	11	9	482	3	78	350	4	0.241266	40180.6	0.000125266	0	0	0
2300	100	734	25	10	980	12	9	467	9	69	346	4	0.063955	78964.3	0.000188288	0	0	0
2691	500	758	13.1527	12.766	1050	13	7	483	5	80	346	5	0.420884	32390.6	0.000139704	0	0	0
2680	500	773	13.9616	11.6796	1046	12	8	484	11	78	346	5	0.417783	33673.6	0.000132961	0	0	0
2686	442	764	16.5352	15.6247	1044	11	9	490	2	75	349	5	0.345248	28965	0.00016197	0	0	0
2335	103	746	24.1457	10.0259	1049	15	9	472	16	80	345	4	0.069464	79186.7	0.000178508	0	0	0
2629	363	771	15.4856	11.6389	1050	11	8	482	1	78	350	6	0.290808	35418.4	0.000134698	0	0	0
2581	281	772	19.4251	16	1022	11	8	475	15	76	350	4	0.207371	31513.4	0.000171733	0	0	0
