"Time [ms]","InducedVoltage(Coil1) [V]","InducedVoltage(Coil2) [V]","InducedVoltage(Coil1)_1_1 [V]"
6.2,-26.4776167399294,-26.6209487693963,
6.20999999999992,,,-24.1349835535541
6.21999999999992,,,-24.8746631143114
6.22999999999992,,,-25.4034674052172
6.23999999999991,,,-26.3342200070526
6.24999999999991,,,-26.8967283885601
6.25999999999991,,,-27.6716981370784
6.26999999999991,,,-28.3554136537146
6.27999999999991,,,-29.2907392098486
6.28999999999991,,,-29.7076049137991
6.29999999999991,,,-30.3061391725658
6.3,-23.9119978954843,-23.8412104735407,
6.30999999999991,,,-31.425308225609
6.31999999999991,,,-31.8603730724134
6.32999999999991,,,-32.7047969412755
6.33999999999991,,,-33.4561866154229
6.34999999999991,,,-34.408440929358
6.35999999999991,,,-34.6344972235138
6.36999999999991,,,-35.5734727217131
6.37999999999991,,,-36.4490675683297
6.38999999999991,,,-37.4687698295366
6.39999999999991,,,-37.7005966631998
6.4,-27.0052002320258,-26.8286718786963,
6.40999999999991,,,-38.5269091018175
6.41999999999991,,,-39.2244695525251
6.42999999999991,,,-39.8051424473427
6.43999999999991,,,-40.9004159828269
6.44999999999991,,,-41.6379107570769
6.45999999999991,,,-42.5075370161305
6.46999999999991,,,-42.925906020504
6.47999999999991,,,-43.8009811009961
6.4899999999999,,,-44.4820606364101
6.4999999999999,,,-45.4189991909178
6.5,-34.171656652449,-33.9666674777094,
6.5099999999999,,,-46.2603053232832
6.5199999999999,,,-46.8633750598043
6.5299999999999,,,-47.7021470401148
6.5399999999999,,,-48.6029276781616
6.5499999999999,,,-49.639785234392
6.5599999999999,,,-50.2045260221427
6.5699999999999,,,-51.2870026836386
6.5799999999999,,,-52.3959397684147
6.5899999999999,,,-53.0894819502103
6.5999999999999,,,-54.0477474769063
6.6,-43.9561252076647,-43.7747259056646,
6.6099999999999,,,-55.4586571336635
6.6199999999999,,,-56.1137779850641
6.6299999999999,,,-57.1993208900302
6.6399999999999,,,-58.5991577149249
6.6499999999999,,,-59.3745353510946
6.6599999999999,,,-60.8739084879098
6.6699999999999,,,-61.6508451887402
6.6799999999999,,,-63.2717348602622
6.6899999999999,,,-64.2211692133325
6.6999999999999,,,-65.640016357285
6.7,-58.8492931003996,-58.7905784399676,
6.7099999999999,,,-66.990975383599
6.7199999999999,,,-68.0708072463815
6.72999999999989,,,-69.5663150800192
6.73999999999989,,,-70.6371116620004
6.74999999999989,,,-72.206097749042
6.75999999999989,,,-73.2994416743212
6.76999999999989,,,-74.9424908510074
6.77999999999989,,,-76.1635682843629
6.78999999999989,,,-77.1860548555357
6.79999999999989,,,-79.2467064399815
6.8,-79.286312477627,-79.4481761319147,
6.80999999999989,,,-79.1759090080589
6.81999999999989,,,-80.9335078123008
6.82999999999989,,,-81.7394138150607
6.83999999999989,,,-83.4499628324193
6.84999999999989,,,-84.1981512335922
6.85999999999989,,,-85.3105567906833
6.86999999999989,,,-86.3184420355636
6.87999999999989,,,-87.2605702352072
6.88999999999989,,,-88.0408939093949
6.89999999999989,,,-89.1867229319868
6.9,-95.5697790601625,-95.7944796896873,
6.90999999999989,,,-89.6998527574447
6.91999999999989,,,-90.5248802779738
6.92999999999989,,,-91.274603926537
6.93999999999989,,,-91.9157206281311
6.94999999999989,,,-92.6576909178061
6.95999999999989,,,-93.2008941499345
6.96999999999989,,,-93.9304877238517
6.97999999999988,,,-94.7368825220934
6.98999999999988,,,-95.1919255667716
6.99999999999988,,,-96.2764045100301
7,-99.1557116128475,-99.2516973503607,
7.00999999999988,,,-95.4734255216622
7.01999999999988,,,-96.623218138468
7.02999999999988,,,-96.9413058532804
7.03999999999988,,,-97.5436874496955
7.04999999999988,,,-97.8639814589717
7.05999999999988,,,-98.3676300852539
7.06999999999988,,,-98.7195637330392
7.07999999999988,,,-99.017509075698
7.08999999999988,,,-99.4359848726741
7.09999999999988,,,-100.055882990889
7.1,-95.5081174748154,-95.4299349954371,
7.10999999999988,,,-100.060420272906
7.11999999999988,,,-100.473534555116
7.12999999999988,,,-100.88104702131
7.13999999999988,,,-101.137394201715
7.14999999999988,,,-101.505779286752
7.15999999999988,,,-101.780084416352
7.16999999999988,,,-102.212906892339
7.17999999999988,,,-102.593472655053
7.18999999999988,,,-102.746323234858
7.19999999999988,,,-103.256400896871
7.20000000000001,-94.329323728928,-94.1789930695261,
7.20999999999988,,,-103.270180962937
7.21999999999987,,,-103.657762608043
7.22999999999987,,,-103.948754341036
7.23999999999987,,,-104.413949358877
7.24999999999987,,,-104.641609639482
7.25999999999987,,,-104.90523357725
7.26999999999987,,,-105.246067433733
7.27999999999987,,,-105.581368341605
7.28999999999987,,,-105.740555292348
7.29999999999987,,,-106.117187287279
7.30000000000001,-97.7245321534112,-97.5965403786258,
7.30999999999987,,,-106.422994478166
7.31999999999987,,,-106.563299948724
7.32999999999987,,,-106.86173051354
7.33999999999987,,,-107.145905995092
7.34999999999987,,,-107.393397419047
7.35999999999987,,,-107.588385497025
7.36999999999987,,,-107.875963201902
7.37999999999987,,,-108.220192442908
7.38999999999987,,,-108.306682537678
7.39999999999987,,,-108.745810622334
7.40000000000001,-102.896611333911,-102.818850409978,
7.40999999999987,,,-108.750426623393
7.41999999999987,,,-109.125294691935
7.42999999999987,,,-109.306737376496
7.43999999999987,,,-109.732205098222
7.44999999999987,,,-109.866465283386
7.45999999999987,,,-110.106079002241
7.46999999999986,,,-110.338608565479
7.47999999999986,,,-110.528578909579
7.48999999999986,,,-110.745969335978
7.49999999999986,,,-110.916215252315
7.50000000000001,-109.430334679345,-109.425395987501,
7.50999999999986,,,-111.37027986156
7.51999999999986,,,-111.324537066203
7.52999999999986,,,-111.626495307964
7.53999999999986,,,-111.77367872821
7.54999999999986,,,-111.92128206347
7.55999999999986,,,-112.05720974296
7.56999999999986,,,-112.186160904347
7.57999999999986,,,-112.510418569843
7.58999999999986,,,-112.365225197113
