"Distance []","FFT Distance*$Poles/(3.14159265358979*($DiaGap-$AirGap)*2*60)*1s []","FFT Flux_Lines [] - Time='0.0166666666666667s'"
24420.0331837897,24420.0331837897,1.25575487068337E-07
24480.0332653224,24480.0332653224,3.72922741841726E-08
24540.033346855,24540.033346855,4.4351325055298E-08
24600.0334283877,24600.0334283877,6.76054615029062E-08
24660.0335099204,24660.0335099204,9.36262493931736E-08
24720.033591453,24720.033591453,1.38591254948466E-07
24780.0336729857,24780.0336729857,3.20580910033255E-07
24840.0337545183,24840.0337545183,1.57866721488167E-08
24900.033836051,24900.033836051,1.68707834950403E-07
24960.0339175836,24960.0339175836,3.14659140708431E-08
25020.0339991163,25020.0339991163,3.8575351023376E-08
25080.0340806489,25080.0340806489,7.12154506753989E-08
25140.0341621816,25140.0341621816,2.92098360077063E-08
25200.0342437142,25200.0342437142,1.08408067984022E-07
25260.0343252469,25260.0343252469,2.95396793152219E-08
25320.0344067795,25320.0344067795,2.47126112748814E-08
25380.0344883122,25380.0344883122,2.17053073223713E-08
25440.0345698448,25440.0345698448,7.09090598934682E-08
25500.0346513775,25500.0346513775,1.5931446614009E-07
25560.0347329101,25560.0347329101,1.80591858161719E-08
25620.0348144428,25620.0348144428,1.93517815100117E-07
25680.0348959754,25680.0348959754,1.35310199480863E-07
25740.0349775081,25740.0349775081,1.39492898482073E-08
25800.0350590408,25800.0350590408,5.71631995239374E-08
25860.0351405734,25860.0351405734,5.9782210807052E-08
25920.0352221061,25920.0352221061,5.76492553843064E-08
25980.0353036387,25980.0353036387,4.06172122899755E-08
26040.0353851714,26040.0353851714,1.22388178269526E-07
26100.035466704,26100.035466704,4.81275295001902E-08
26160.0355482367,26160.0355482367,1.17952961675208E-07
26220.0356297693,26220.0356297693,9.90149014981328E-08
26280.035711302,26280.035711302,1.29531499372236E-07
26340.0357928346,26340.0357928346,5.06921217454266E-08
26400.0358743673,26400.0358743673,2.64372530576858E-08
26460.0359558999,26460.0359558999,4.21402131781127E-08
26520.0360374326,26520.0360374326,9.46357714449868E-09
26580.0361189652,26580.0361189652,1.24695155337493E-07
26640.0362004979,26640.0362004979,8.42908827806239E-08
26700.0362820305,26700.0362820305,1.17154582666054E-07
26760.0363635632,26760.0363635632,3.29318467554937E-08
26820.0364450959,26820.0364450959,4.41527263917577E-08
26880.0365266285,26880.0365266285,4.58281532138799E-08
26940.0366081612,26940.0366081612,7.32238186843853E-08
27000.0366896938,27000.0366896938,4.83901566599207E-08
27060.0367712265,27060.0367712265,2.82573710469297E-08
27120.0368527591,27120.0368527591,1.9083139860487E-07
27180.0369342918,27180.0369342918,4.92034329502911E-09
27240.0370158244,27240.0370158244,1.73026440714036E-07
27300.0370973571,27300.0370973571,1.5762900891085E-08
27360.0371788897,27360.0371788897,8.79935037529547E-08
27420.0372604224,27420.0372604224,1.90790187318951E-08
27480.037341955,27480.037341955,5.39322848133533E-08
27540.0374234877,27540.0374234877,4.98768034469619E-08
27600.0375050203,27600.0375050203,6.41430055861376E-08
27660.037586553,27660.037586553,2.91371945916193E-08
27720.0376680856,27720.0376680856,5.52086809454859E-08
27780.0377496183,27780.0377496183,7.66640657752449E-09
27840.037831151,27840.037831151,4.84613418236426E-09
27900.0379126836,27900.0379126836,8.52620072857268E-08
27960.0379942163,27960.0379942163,1.30378808882256E-07
28020.0380757489,28020.0380757489,1.84954956457234E-07
28080.0381572816,28080.0381572816,9.23999198596047E-08
28140.0382388142,28140.0382388142,1.59884275337653E-07
28200.0383203469,28200.0383203469,4.23280775231723E-08
28260.0384018795,28260.0384018795,3.90820254307274E-08
28320.0384834122,28320.0384834122,9.63268500609406E-08
28380.0385649448,28380.0385649448,8.61486432086814E-08
28440.0386464775,28440.0386464775,2.47987230173842E-08
28500.0387280101,28500.0387280101,2.62630349402317E-08
28560.0388095428,28560.0388095428,6.20731289572015E-08
28620.0388910754,28620.0388910754,3.17302831271096E-08
28680.0389726081,28680.0389726081,2.55023632602292E-08
28740.0390541408,28740.0390541408,1.27562414252204E-08
28800.0391356734,28800.0391356734,6.77030089809478E-08
28860.0392172061,28860.0392172061,2.52913503255156E-08
28920.0392987387,28920.0392987387,1.54561621567987E-07
28980.0393802714,28980.0393802714,1.52535289124163E-08
29040.039461804,29040.039461804,9.50450184695379E-08
29100.0395433367,29100.0395433367,2.16543870629546E-08
29160.0396248693,29160.0396248693,4.56398644900768E-08
29220.039706402,29220.039706402,4.22320534915405E-08
29280.0397879346,29280.0397879346,6.69010694549607E-08
29340.0398694673,29340.0398694673,1.55438791657113E-08
29400.0399509999,29400.0399509999,5.6535486864869E-08
29460.0400325326,29460.0400325326,7.82976147953865E-09
29520.0401140652,29520.0401140652,2.1002410934693E-07
29580.0401955979,29580.0401955979,4.01041476881786E-08
29640.0402771305,29640.0402771305,1.93168105271959E-07
29700.0403586632,29700.0403586632,3.43923644958667E-08
29760.0404401958,29760.0404401958,8.22838921567327E-08
29820.0405217285,29820.0405217285,7.93771444779746E-08
29880.0406032612,29880.0406032612,3.05031461429146E-08
29940.0406847938,29940.0406847938,3.43619088081505E-08
30000.0407663265,30000.0407663265,5.64725945301609E-08
